iteration 1	residual 9.903703	decreased 0.096297	decreased factor 1.009723
iteration 2	residual 9.834187	decreased 0.165813	decreased factor 1.016861
iteration 3	residual 9.780991	decreased 0.219009	decreased factor 1.022391
iteration 4	residual 9.736245	decreased 0.263755	decreased factor 1.027090
iteration 5	residual 9.696798	decreased 0.303202	decreased factor 1.031268
iteration 6	residual 9.661079	decreased 0.338921	decreased factor 1.035081
iteration 7	residual 9.628170	decreased 0.371830	decreased factor 1.038619
iteration 8	residual 9.597477	decreased 0.402523	decreased factor 1.041940
iteration 9	residual 9.568590	decreased 0.431410	decreased factor 1.045086
iteration 10	residual 9.541211	decreased 0.458789	decreased factor 1.048085
iteration 11	residual 9.515117	decreased 0.484883	decreased factor 1.050959
iteration 12	residual 9.490132	decreased 0.509868	decreased factor 1.053726
iteration 13	residual 9.466120	decreased 0.533880	decreased factor 1.056399
iteration 14	residual 9.442968	decreased 0.557032	decreased factor 1.058989
iteration 15	residual 9.420585	decreased 0.579415	decreased factor 1.061505
iteration 16	residual 9.398894	decreased 0.601106	decreased factor 1.063955
iteration 17	residual 9.377830	decreased 0.622170	decreased factor 1.066345
iteration 18	residual 9.357339	decreased 0.642661	decreased factor 1.068680
iteration 19	residual 9.337371	decreased 0.662629	decreased factor 1.070965
iteration 20	residual 9.317886	decreased 0.682114	decreased factor 1.073205
iteration 21	residual 9.298847	decreased 0.701153	decreased factor 1.075402
iteration 22	residual 9.280223	decreased 0.719777	decreased factor 1.077560
iteration 23	residual 9.261985	decreased 0.738015	decreased factor 1.079682
iteration 24	residual 9.244108	decreased 0.755892	decreased factor 1.081770
iteration 25	residual 9.226569	decreased 0.773431	decreased factor 1.083826
iteration 26	residual 9.209348	decreased 0.790652	decreased factor 1.085853
iteration 27	residual 9.192426	decreased 0.807574	decreased factor 1.087852
iteration 28	residual 9.175787	decreased 0.824213	decreased factor 1.089825
iteration 29	residual 9.159414	decreased 0.840586	decreased factor 1.091773
iteration 30	residual 9.143296	decreased 0.856704	decreased factor 1.093698
iteration 31	residual 9.127417	decreased 0.872583	decreased factor 1.095600
iteration 32	residual 9.111768	decreased 0.888232	decreased factor 1.097482
iteration 33	residual 9.096336	decreased 0.903664	decreased factor 1.099344
iteration 34	residual 9.081113	decreased 0.918887	decreased factor 1.101187
iteration 35	residual 9.066088	decreased 0.933912	decreased factor 1.103012
