iteration 1	residual 9.924717	decreased 0.075283	decreased factor 1.007585
iteration 2	residual 9.880536	decreased 0.119464	decreased factor 1.012091
iteration 3	residual 9.845684	decreased 0.154316	decreased factor 1.015673
iteration 4	residual 9.815883	decreased 0.184117	decreased factor 1.018757
iteration 5	residual 9.789384	decreased 0.210616	decreased factor 1.021515
iteration 6	residual 9.765262	decreased 0.234738	decreased factor 1.024038
iteration 7	residual 9.742961	decreased 0.257039	decreased factor 1.026382
iteration 8	residual 9.722111	decreased 0.277889	decreased factor 1.028583
iteration 9	residual 9.702453	decreased 0.297547	decreased factor 1.030667
iteration 10	residual 9.683797	decreased 0.316203	decreased factor 1.032653
iteration 11	residual 9.665999	decreased 0.334001	decreased factor 1.034554
iteration 12	residual 9.648946	decreased 0.351054	decreased factor 1.036383
iteration 13	residual 9.632549	decreased 0.367451	decreased factor 1.038147
iteration 14	residual 9.616734	decreased 0.383266	decreased factor 1.039854
iteration 15	residual 9.601441	decreased 0.398559	decreased factor 1.041510
iteration 16	residual 9.586619	decreased 0.413381	decreased factor 1.043121
iteration 17	residual 9.572224	decreased 0.427776	decreased factor 1.044689
iteration 18	residual 9.558220	decreased 0.441780	decreased factor 1.046220
iteration 19	residual 9.544576	decreased 0.455424	decreased factor 1.047715
iteration 20	residual 9.531263	decreased 0.468737	decreased factor 1.049179
iteration 21	residual 9.518257	decreased 0.481743	decreased factor 1.050613
iteration 22	residual 9.505537	decreased 0.494463	decreased factor 1.052018
iteration 23	residual 9.493083	decreased 0.506917	decreased factor 1.053399
iteration 24	residual 9.480878	decreased 0.519122	decreased factor 1.054755
iteration 25	residual 9.468907	decreased 0.531093	decreased factor 1.056088
iteration 26	residual 9.457157	decreased 0.542843	decreased factor 1.057400
iteration 27	residual 9.445614	decreased 0.554386	decreased factor 1.058692
iteration 28	residual 9.434267	decreased 0.565733	decreased factor 1.059966
iteration 29	residual 9.423106	decreased 0.576894	decreased factor 1.061221
iteration 30	residual 9.412122	decreased 0.587878	decreased factor 1.062460
iteration 31	residual 9.401305	decreased 0.598695	decreased factor 1.063682
iteration 32	residual 9.390648	decreased 0.609352	decreased factor 1.064889
iteration 33	residual 9.380143	decreased 0.619857	decreased factor 1.066082
iteration 34	residual 9.369783	decreased 0.630217	decreased factor 1.067261
iteration 35	residual 9.359562	decreased 0.640438	decreased factor 1.068426
iteration 36	residual 9.349475	decreased 0.650525	decreased factor 1.069579
